Invoice Date,Transaction Type,Order Id,Shipment Date,Order Date,Shipment Item Id,Item Description,Invoice Amount
6/2/2024,Shipment,204-6365976-8015888,2024-06-02 15:33:36,6/2/2024,392593488251,Product A,354
6/2/2024,Cancel,204-9963311-8238870,,,392022984304,,0
6/2/2024,Shipment,204-9963311-8238870,2024-06-02 19:54:17,6/2/2024,393626688551,Product A,218
6/2/2024,Shipment,204-0046526-1270521,2024-06-02 10:55:37,6/2/2024,393053844252,Product A,383
6/2/2024,Shipment,404-8874428-1419680,2024-06-02 11:26:11,6/2/2024,392570697304,Product A,632
6/2/2024,Shipment,604-3900053-7495228,2024-06-02 8:59:11,6/2/2024,393625305416,Product A,347
6/2/2024,Shipment,704-4721884-7095620,2024-06-03 12:02:23,6/2/2024,392555987588,Product A,867
6/2/2024,Shipment,171-7959415-5034427,2024-06-02 11:26:40,6/2/2024,392015606028,Product A,646
6/2/2024,Shipment,604-9753035-1674979,2024-06-03 20:02:15,6/2/2024,392569883093,Product A,799
6/2/2024,Shipment,204-5124271-9199226,2024-06-03 15:53:17,6/2/2024,392042554615,Product A,363
6/2/2024,Shipment,704-1279211-1591448,2024-06-02 11:21:34,6/2/2024,394082691430,Product A,353
6/2/2024,Shipment,404-3165139-3436560,2024-06-02 13:57:13,6/2/2024,394110449889,Product A,1269
6/2/2024,Shipment,304-0800218-6319019,2024-06-02 22:04:12,6/2/2024,393033734462,Product A,510
6/2/2024,Refund,304-0800218-6319019,2024-06-02 22:04:12,6/2/2024,393033734462,Product A,-510
6/2/2024,Shipment,804-3420744-5695664,2024-06-02 15:33:19,6/2/2024,392581277248,Product A,340
6/2/2024,Cancel,404-6171999-4457213,,,394086205208,,0
6/2/2024,Shipment,404-6171999-4457213,2024-06-04 15:35:17,6/2/2024,394106259047,Product A,510
6/2/2024,Shipment,304-2636492-3313384,2024-06-02 22:24:34,6/2/2024,392587733922,Product A,799
6/2/2024,Cancel,604-1309793-8455396,,,393600746773,,0
6/2/2024,Shipment,604-1309793-8455396,2024-06-02 16:19:45,6/2/2024,393600746773,Product A,446
6/2/2024,Shipment,804-2260925-1053407,2024-06-02 14:45:37,6/2/2024,392595195734,Product A,739
6/2/2024,Shipment,804-9463576-8591439,2024-06-03 0:27:41,6/1/2024,393590913371,Product A,353
6/2/2024,Shipment,171-1282423-7099483,2024-06-05 1:14:39,6/2/2024,392593832019,Product A,1193
6/2/2024,Shipment,304-3098944-6574393,2024-06-02 19:55:37,6/1/2024,394124354944,Product A,393
6/2/2024,Shipment,404-3624114-5157607,2024-06-03 15:58:55,6/2/2024,394082691813,Product A,1761
6/2/2024,Shipment,304-8091934-4538002,2024-06-03 15:50:18,6/2/2024,394102104820,Product A,467.5
6/2/2024,Refund,304-8091934-4538002,2024-06-03 15:50:18,6/2/2024,394102104820,Product A,-467.5
6/2/2024,Shipment,404-2919936-7013946,2024-06-04 15:36:39,6/2/2024,393565581050,Product A,994
6/2/2024,Shipment,804-3785658-3630882,2024-06-03 16:14:37,6/2/2024,394105090539,Product A,889
6/2/2024,Refund,804-3785658-3630882,2024-06-03 16:14:37,6/2/2024,394105090539,Product A,-889
6/2/2024,Shipment,171-5432261-8297175,2024-06-03 4:02:13,6/2/2024,393038251150,Product A,585
6/2/2024,Refund,171-5432261-8297175,2024-06-03 4:02:13,6/2/2024,393038251150,Product A,-585
6/2/2024,Shipment,604-8896060-2570389,2024-06-02 23:30:39,6/2/2024,392016392019,Product A,409
6/2/2024,Shipment,304-4225777-1038662,2024-06-02 15:31:02,6/2/2024,392574199045,Product A,563
6/2/2024,Shipment,604-4875727-5438271,2024-06-02 20:16:13,6/2/2024,394110251296,Product A,347
6/2/2024,Shipment,804-9746657-2291630,2024-06-02 21:30:16,6/2/2024,393595896477,Product A,676
6/2/2024,Refund,804-9746657-2291630,2024-06-02 21:30:16,6/2/2024,393595896477,Product A,-676
6/2/2024,Shipment,504-6597624-9295283,2024-06-02 10:55:13,6/2/2024,393036382372,Product A,353
6/2/2024,Shipment,204-0813337-9678335,2024-06-03 15:49:03,6/2/2024,392555015513,Product A,957.1
6/2/2024,Shipment,171-7133344-4034808,2024-06-02 10:00:37,6/2/2024,394083013874,Product A,405
6/2/2024,Shipment,604-5131234-7359115,2024-06-02 23:00:14,6/2/2024,393070516509,Product A,375
6/2/2024,Shipment,171-2150291-1017395,2024-06-02 11:40:36,6/2/2024,394123342619,Product A,353
6/2/2024,Shipment,171-0080480-4191079,2024-06-02 11:37:34,6/2/2024,392580259788,Product A,347
6/2/2024,Refund,171-0080480-4191079,2024-06-02 11:37:34,6/2/2024,392580259788,Product A,-347
6/2/2024,Cancel,504-3022306-4451986,,,393568825054,,0
6/2/2024,Shipment,204-9844730-1499243,2024-06-02 15:43:35,6/2/2024,392056183739,Product A,563
6/2/2024,Cancel,204-5994474-5659787,,,392056189279,,0
6/2/2024,Shipment,204-5994474-5659787,2024-06-03 0:12:43,6/2/2024,392056189279,Product A,493
6/2/2024,Refund,204-5994474-5659787,2024-06-03 0:12:43,6/2/2024,392056189279,Product A,-493
6/2/2024,Shipment,171-9106937-1270543,2024-06-02 21:45:44,6/2/2024,393036219786,Product A,347
6/2/2024,Shipment,204-2415490-1430445,2024-06-02 11:02:32,6/2/2024,393601795052,Product A,594
6/2/2024,Shipment,304-8446424-3572093,2024-06-02 10:39:13,6/2/2024,393037031140,Product A,347
6/2/2024,Shipment,404-8439381-5115061,2024-06-02 12:55:14,6/2/2024,394124859149,Product A,510
6/2/2024,Shipment,404-6051601-1451724,2024-06-02 15:40:01,6/2/2024,393591763731,Product A,4132
6/2/2024,Cancel,404-6051601-1451724,,,394122316339,,0
6/2/2024,Shipment,404-6051601-1451724,2024-06-02 15:41:34,6/2/2024,394122316339,Product A,4846
6/2/2024,FreeReplacement,804-3767812-5419619,2024-06-06 15:41:15,6/1/2024,394092043314,Product A,0
6/2/2024,Shipment,804-7770631-0351310,2024-06-02 15:31:56,6/2/2024,393594274417,Product A,994
6/2/2024,Shipment,204-3989056-1559370,2024-06-03 15:35:36,6/2/2024,392041906663,Product A,442
6/2/2024,Shipment,171-2085096-9199647,2024-06-02 12:31:13,6/2/2024,394126501575,Product A,1053
6/2/2024,Shipment,804-1720688-8130803,2024-06-02 15:32:05,6/2/2024,392612053529,Product A,952
6/2/2024,Refund,804-1720688-8130803,2024-06-02 15:32:05,6/2/2024,392612053529,Product A,-952
6/2/2024,Shipment,804-2560581-8638094,2024-06-02 15:32:00,6/2/2024,394123538284,Product A,952
6/2/2024,Refund,804-2560581-8638094,2024-06-02 15:32:00,6/2/2024,394123538284,Product A,-952
6/2/2024,Shipment,604-3204282-1651162,2024-06-02 20:27:13,6/2/2024,394124365568,Product A,321
6/2/2024,Shipment,804-7787325-6191885,2024-06-02 10:57:37,6/2/2024,393037031371,Product A,924
6/2/2024,Shipment,704-4009557-9632767,2024-06-03 15:21:22,6/2/2024,392044646528,Product A,1202
6/2/2024,Shipment,204-5486030-7232104,2024-06-02 12:55:13,6/2/2024,393590591962,Product A,383
6/2/2024,Shipment,804-2329931-8434828,2024-06-02 15:29:56,6/2/2024,394121303630,Product A,510
6/2/2024,Refund,804-2329931-8434828,2024-06-02 15:29:56,6/2/2024,394121303630,Product A,-510
6/2/2024,Shipment,804-0826286-5170106,2024-06-02 15:43:34,6/2/2024,393030171406,Product A,510
